LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_47604975339139373291<CUDNN_CONVOLUTION_FWD_A...,126.507041,104055570432
conv_1,Conv,ADD_TENSOR7529012898215108397,7.881528,104055570432
relu_1,Relu,ACTIVATION_FWD5786023093710062685<CUDNN_ACTIVATION_RE...,8.651838,429981696
maxpool_1,Pooling,POOLING_FWD17881540577227730723<CUDNN_POOLING_MAX_DET...,11.131729,322486272
conv2_2,Conv,CONV_FWD_418252054996867979725<CUDNN_CONVOLUTION_FWD_...,31.165579,229323571200
conv2_2,Conv,ADD_TENSOR4318559186665981644,4.267680,229323571200
relu_2,Relu,ACTIVATION_FWD7700920577109031329<CUDNN_ACTIVATION_RE...,5.782882,286654464
maxpool_2,Pooling,POOLING_FWD2741154689248904404<CUDNN_POOLING_MAX_DETE...,7.599217,199360512
conv_3,Conv,CONV_FWD_311450934961182194354<CUDNN_CONVOLUTION_FWD_...,39.543726,153108873216
conv_3,Conv,ADD_TENSOR13773401213068497882,1.420516,153108873216
relu_3,Relu,ACTIVATION_FWD3933245432795880316<CUDNN_ACTIVATION_RE...,2.247954,99680256
conv4_2,Conv,CONV_FWD_011165401870850178381<CUDNN_CONVOLUTION_FWD_...,36.867902,114831654912
conv4_2,Conv,ADD_TENSOR13773401213068497882,1.420516,114831654912
relu_4,Relu,ACTIVATION_FWD3933245432795880316<CUDNN_ACTIVATION_RE...,2.247954,99680256
conv5_2,Conv,CONV_FWD_412810149032958332641<CUDNN_CONVOLUTION_FWD_...,25.792114,76554436608
conv5_2,Conv,ADD_TENSOR14526833374302971729,0.950980,76554436608
relu_5,Relu,ACTIVATION_FWD15006453217995768378<CUDNN_ACTIVATION_R...,1.501994,66453504
maxpool_3,Pooling,POOLING_FWD13060177548020940324<CUDNN_POOLING_MAX>,1.703557,42467328
gemm_1,Gemm,GEMV_FWD2221639256229745997,1.233166,75501568
relu_6,Relu,ACTIVATION_FWD528803066493842240<CUDNN_ACTIVATION_REL...,0.020072,12288
dropout_1,Dropout,DROPOUT_FWD12252027908587217406,0.021942,4096
dropout_1,Dropout,DROPOUT_FWD12252027908587217406,0.021942,4096
gemm_2,Gemm,GEMV_FWD5314514162459566237,0.538253,33558528
relu_7,Relu,ACTIVATION_FWD528803066493842240<CUDNN_ACTIVATION_REL...,0.020072,12288
dropout_2,Dropout,DROPOUT_FWD12252027908587217406,0.021942,4096
dropout_2,Dropout,DROPOUT_FWD12252027908587217406,0.021942,4096
gemm_3,Gemm,GEMV_FWD11780430220461947546,0.221304,8193000
softmax_1,Softmax,"SOFTMAX_FWD8015756954320877594<CUDNN_SOFTMAX_FAST, CU...",0.013163,3000
,,Total,318.818504,1357412274080
