LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv17_conv0_fwd,Conv,CONV_FWD_110935533770451913116<CUDNN_CONVOLUTION_FWD_...,158.113315,120846286848
resnetv17_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE7689651996345816130<CUDNN_BATC...,28.472287,822083584
resnetv17_relu0_fwd,Relu,ACTIVATION_FWD2968411856259856954<CUDNN_ACTIVATION_CL...,26.472774,1233125376
resnetv17_pool0_fwd,Pooling,POOLING_FWD2015284829533466343<CUDNN_POOLING_MAX_DETE...,30.313847,924844032
resnetv17_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE15006534337324541750<CUDNN_BAT...,6.834340,205520896
resnetv17_stage1_relu0_fwd,Relu,ACTIVATION_FWD10648515148875270478<CUDNN_ACTIVATION_R...,6.610348,308281344
resnetv17_stage1_conv1_fwd,Conv,CONV_FWD_33428149889427736730<CUDNN_CONVOLUTION_FWD_A...,46.761423,118380036096
resnetv17_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE15006534337324541750<CUDNN_BAT...,6.834340,205520896
resnetv17_stage1_relu1_fwd,Relu,ACTIVATION_FWD10648515148875270478<CUDNN_ACTIVATION_R...,6.610348,308281344
resnetv17_stage1_conv2_fwd,Conv,CONV_FWD_22539956566518590266<CUDNN_CONVOLUTION_FWD_A...,56.463475,52613349376
resnetv17_stage1_conv2_fwd,Conv,ADD_TENSOR3128292993734636144,19.880627,52613349376
resnetv17_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE8308426855659139876<CUDNN_BATC...,69.311030,822083584
resnetv17_stage1_conv3_fwd,Conv,CONV_FWD_22539956566518590266<CUDNN_CONVOLUTION_FWD_A...,56.463475,52613349376
resnetv17_stage1_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE8308426855659139876<CUDNN_BATC...,69.311030,822083584
resnetv17_stage1__plus0,ElementWise,OP_TENSOR_ADD_FWD10381890486868265001,53.658948,411041792
resnetv17_stage1_activation0,Relu,ACTIVATION_FWD7921888900535350938<CUDNN_ACTIVATION_CL...,26.478913,1233125376
resnetv17_stage1_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE15006534337324541750<CUDNN_BAT...,6.834340,205520896
resnetv17_stage1_relu2_fwd,Relu,ACTIVATION_FWD10648515148875270478<CUDNN_ACTIVATION_R...,6.610348,308281344
resnetv17_stage1_conv5_fwd,Conv,CONV_FWD_33428149889427736730<CUDNN_CONVOLUTION_FWD_A...,46.761423,118380036096
