LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
relu_1,Relu,ACTIVATION_FWD2968411856259856954<CUDNN_ACTIVATION_RE...,36.870405,1233125376
maxpool_1,Pooling,POOLING_FWD17026792491719186414<CUDNN_POOLING_MAX_DET...,31.478152,924844032
relu_2,Relu,ACTIVATION_FWD10648515148875270478<CUDNN_ACTIVATION_R...,9.165026,308281344
relu_3,Relu,ACTIVATION_FWD11416145038291865176<CUDNN_ACTIVATION_R...,27.670550,924844032
maxpool_2,Pooling,POOLING_FWD3727364833997979267<CUDNN_POOLING_MAX>,25.272781,693633024
relu_4,Relu,ACTIVATION_FWD4453741979855553226<CUDNN_ACTIVATION_RE...,2.327461,77070336
conv_5,Conv,CONV_FWD_2527647294108875563<CUDNN_CONVOLUTION_FWD_AL...,11.510063,14797504512
conv_5,Conv,ADD_TENSOR4304785518479486352,1.601141,14797504512
relu_5,Relu,ACTIVATION_FWD1780764628382766024<CUDNN_ACTIVATION_RE...,3.478419,115605504
conv_6,Conv,CONV_FWD_16841252571744697848<CUDNN_CONVOLUTION_FWD_A...,25.190979,88785027072
conv_6,Conv,ADD_TENSOR14927439780405020001,2.129823,88785027072
relu_6,Relu,ACTIVATION_FWD14711288757122371865<CUDNN_ACTIVATION_R...,4.614236,154140672
conv_7,Conv,CONV_FWD_213017830150171307830<CUDNN_CONVOLUTION_FWD_...,3.760833,2466250752
conv_7,Conv,ADD_TENSOR12099101795314678899,0.275349,2466250752
relu_7,Relu,ACTIVATION_FWD12598446183579030845<CUDNN_ACTIVATION_R...,0.588492,19267584
conv_8,Conv,CONV_FWD_29248229958917036173<CUDNN_CONVOLUTION_FWD_A...,3.279640,10276044800
conv_8,Conv,ADD_TENSOR1617027231156038357,0.539926,10276044800
relu_8,Relu,ACTIVATION_FWD15630672300216807707<CUDNN_ACTIVATION_R...,1.168276,38535168
maxpool_3,Pooling,POOLING_FWD16752672297339068549<CUDNN_POOLING_AVERAGE...,27.977675,693633024
conv_9,Conv,CONV_FWD_18659612636768763803<CUDNN_CONVOLUTION_FWD_A...,3.874163,4932501504
conv_9,Conv,ADD_TENSOR1617027231156038357,0.539926,4932501504
relu_9,Relu,ACTIVATION_FWD15630672300216807707<CUDNN_ACTIVATION_R...,1.168276,38535168
conv_10,Conv,CONV_FWD_215392135214091867311<CUDNN_CONVOLUTION_FWD_...,14.714559,26306674688
conv_10,Conv,ADD_TENSOR14927439780405020001,2.129823,26306674688
relu_10,Relu,ACTIVATION_FWD14711288757122371865<CUDNN_ACTIVATION_R...,4.614236,154140672
conv_11,Conv,CONV_FWD_215392135214091867311<CUDNN_CONVOLUTION_FWD_...,14.714559,26306674688
conv_11,Conv,ADD_TENSOR14927439780405020001,2.129823,26306674688
relu_11,Relu,ACTIVATION_FWD14711288757122371865<CUDNN_ACTIVATION_R...,4.614236,154140672
conv_12,Conv,CONV_FWD_1273094063500833168<CUDNN_CONVOLUTION_FWD_AL...,42.262358,177570054144
conv_12,Conv,ADD_TENSOR16971785802417599702,3.230204,177570054144
relu_12,Relu,ACTIVATION_FWD9428504255552629872<CUDNN_ACTIVATION_RE...,6.914726,231211008
conv_13,Conv,CONV_FWD_02505893528742187121<CUDNN_CONVOLUTION_FWD_A...,4.974615,6576668672
conv_13,Conv,ADD_TENSOR1617027231156038357,0.539926,6576668672
relu_13,Relu,ACTIVATION_FWD15630672300216807707<CUDNN_ACTIVATION_R...,1.168276,38535168
conv_14,Conv,CONV_FWD_01852912904429619913<CUDNN_CONVOLUTION_FWD_A...,10.100569,61656268800
conv_14,Conv,ADD_TENSOR4304785518479486352,1.601141,61656268800
relu_14,Relu,ACTIVATION_FWD1780764628382766024<CUDNN_ACTIVATION_RE...,3.478419,115605504
maxpool_4,Pooling,POOLING_FWD11492493368867309789<CUDNN_POOLING_AVERAGE...,37.306452,924844032
relu_15,Relu,ACTIVATION_FWD4453741979855553226<CUDNN_ACTIVATION_RE...,2.327461,77070336
maxpool_5,Pooling,POOLING_FWD9442268321625080885<CUDNN_POOLING_MAX>,17.483509,433520640
conv_16,Conv,CONV_FWD_216849566880641175089<CUDNN_CONVOLUTION_FWD_...,10.744099,18496880640
conv_16,Conv,ADD_TENSOR4283858446483675882,0.833164,18496880640
relu_16,Relu,ACTIVATION_FWD2416390265147896596<CUDNN_ACTIVATION_RE...,1.728973,57802752
conv_17,Conv,CONV_FWD_310696891041387003912<CUDNN_CONVOLUTION_FWD_...,6.683262,9248440320
conv_17,Conv,ADD_TENSOR13418208257229559235,0.422078,9248440320
relu_17,Relu,ACTIVATION_FWD5622523787277018704<CUDNN_ACTIVATION_RE...,0.879204,28901376
conv_18,Conv,CONV_FWD_017312038469873359053<CUDNN_CONVOLUTION_FWD_...,11.951818,36068917248
conv_18,Conv,ADD_TENSOR16016975941633301278,0.901882,36068917248
relu_18,Relu,ACTIVATION_FWD14125470932840915181<CUDNN_ACTIVATION_R...,2.020671,62619648
conv_19,Conv,CONV_FWD_1230382830736591695<CUDNN_CONVOLUTION_FWD_AL...,2.255620,1541406720
conv_19,Conv,ADD_TENSOR13630878101865400758,0.079226,1541406720
relu_19,Relu,ACTIVATION_FWD1585086752402793221<CUDNN_ACTIVATION_RE...,0.159419,4816896
conv_20,Conv,CONV_FWD_31928817989161915758<CUDNN_CONVOLUTION_FWD_A...,3.077715,3853516800
conv_20,Conv,ADD_TENSOR1206665632359466092,0.216426,3853516800
relu_20,Relu,ACTIVATION_FWD15414606618264025<CUDNN_ACTIVATION_RELU...,0.449741,14450688
maxpool_6,Pooling,POOLING_FWD9666858897635588868<CUDNN_POOLING_MAX_DETE...,16.556766,433520640
conv_21,Conv,CONV_FWD_310866117873808045769<CUDNN_CONVOLUTION_FWD_...,3.652187,6165626880
conv_21,Conv,ADD_TENSOR7318914480831758345,0.284844,6165626880
relu_21,Relu,ACTIVATION_FWD5845180676068142718<CUDNN_ACTIVATION_RE...,0.588482,19267584
conv_22,Conv,CONV_FWD_416015193731726607270<CUDNN_CONVOLUTION_FWD_...,11.410228,16441671680
conv_22,Conv,ADD_TENSOR2192782219447454458,0.696266,16441671680
relu_22,Relu,ACTIVATION_FWD149204816973708956<CUDNN_ACTIVATION_REL...,1.459422,48168960
conv_23,Conv,CONV_FWD_110032477082615784530<CUDNN_CONVOLUTION_FWD_...,7.084791,11509170176
conv_23,Conv,ADD_TENSOR13221881662466787355,0.490417,11509170176
relu_23,Relu,ACTIVATION_FWD16677872388162229482<CUDNN_ACTIVATION_C...,1.077517,33718272
conv_24,Conv,CONV_FWD_23951875609131646490<CUDNN_CONVOLUTION_FWD_A...,12.322223,45317357568
conv_24,Conv,ADD_TENSOR16929801127432108232,0.970603,45317357568
relu_24,Relu,ACTIVATION_FWD8624163885208785188<CUDNN_ACTIVATION_RE...,2.110295,67436544
conv_25,Conv,CONV_FWD_416254928641245979816<CUDNN_CONVOLUTION_FWD_...,2.421435,2466250752
conv_25,Conv,ADD_TENSOR13585782927419333222,0.113548,2466250752
relu_25,Relu,ACTIVATION_FWD10158558013956754890<CUDNN_ACTIVATION_R...,0.229143,7225344
conv_26,Conv,CONV_FWD_36039744453666098591<CUDNN_CONVOLUTION_FWD_A...,4.495798,7707033600
conv_26,Conv,ADD_TENSOR7318914480831758345,0.284844,7707033600
relu_26,Relu,ACTIVATION_FWD5845180676068142718<CUDNN_ACTIVATION_RE...,0.588482,19267584
maxpool_7,Pooling,POOLING_FWD11450560798314563320<CUDNN_POOLING_MAX>,17.667507,462422016
conv_27,Conv,CONV_FWD_112302072327333696623<CUDNN_CONVOLUTION_FWD_...,3.883308,6576668672
conv_27,Conv,ADD_TENSOR7318914480831758345,0.284844,6576668672
relu_27,Relu,ACTIVATION_FWD5845180676068142718<CUDNN_ACTIVATION_RE...,0.588482,19267584
conv_28,Conv,CONV_FWD_214690903821515523725<CUDNN_CONVOLUTION_FWD_...,7.098953,13153337344
conv_28,Conv,ADD_TENSOR6905750213426821951,0.559279,13153337344
relu_28,Relu,ACTIVATION_FWD1495153883480095725<CUDNN_ACTIVATION_RE...,1.168253,38535168
conv_29,Conv,CONV_FWD_214690903821515523725<CUDNN_CONVOLUTION_FWD_...,7.098953,13153337344
conv_29,Conv,ADD_TENSOR6905750213426821951,0.559279,13153337344
relu_29,Relu,ACTIVATION_FWD1495153883480095725<CUDNN_ACTIVATION_RE...,1.168253,38535168
conv_30,Conv,CONV_FWD_012257032503752656998<CUDNN_CONVOLUTION_FWD_...,15.009621,59190018048
conv_30,Conv,ADD_TENSOR1493930479096948890,1.125806,59190018048
relu_30,Relu,ACTIVATION_FWD2639908612074224082<CUDNN_ACTIVATION_RE...,2.327678,77070336
conv_31,Conv,CONV_FWD_416254928641245979816<CUDNN_CONVOLUTION_FWD_...,2.421435,2466250752
conv_31,Conv,ADD_TENSOR13585782927419333222,0.113548,2466250752
relu_31,Relu,ACTIVATION_FWD10158558013956754890<CUDNN_ACTIVATION_R...,0.229143,7225344
conv_32,Conv,CONV_FWD_36039744453666098591<CUDNN_CONVOLUTION_FWD_A...,4.495798,7707033600
conv_32,Conv,ADD_TENSOR7318914480831758345,0.284844,7707033600
relu_32,Relu,ACTIVATION_FWD5845180676068142718<CUDNN_ACTIVATION_RE...,0.588482,19267584
maxpool_8,Pooling,POOLING_FWD11450560798314563320<CUDNN_POOLING_MAX>,17.667507,462422016
conv_33,Conv,CONV_FWD_112302072327333696623<CUDNN_CONVOLUTION_FWD_...,3.883308,6576668672
conv_33,Conv,ADD_TENSOR7318914480831758345,0.284844,6576668672
relu_33,Relu,ACTIVATION_FWD5845180676068142718<CUDNN_ACTIVATION_RE...,0.588482,19267584
conv_34,Conv,CONV_FWD_110032477082615784530<CUDNN_CONVOLUTION_FWD_...,7.084791,11509170176
conv_34,Conv,ADD_TENSOR13221881662466787355,0.490417,11509170176
relu_34,Relu,ACTIVATION_FWD16677872388162229482<CUDNN_ACTIVATION_C...,1.077517,33718272
