LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_46931408578737242223<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.198521,1888223232
batchnormalization_1,BatchNorm,BATCHNORM_FWD_INFERENCE3955180099896498992<CUDNN_BATCHNORM_PER_ACTIV...,0.180559,12845056
mul_1,ElementWise,OP_TENSOR_MUL_FWD13759826957234574819,0.141287,12845056
add_1,ElementWise,OP_TENSOR_ADD_FWD2949498737883799369,0.141100,6422528
relu_1,Relu,ACTIVATION_FWD6449059682728522274<CUDNN_ACTIVATION_CLIPPED_RELU>,0.099681,19267584
maxpool_1,Pooling,POOLING_FWD18307926197624827978<CUDNN_POOLING_MAX_DETERMINISTIC>,0.070107,14450688
batchnormalization_2,BatchNorm,BATCHNORM_FWD_INFERENCE4283986814073947568<CUDNN_BATCHNORM_PER_ACTIV...,0.047714,3211264
mul_2,ElementWise,OP_TENSOR_MUL_FWD12926704908754488163,0.040286,3211264
add_2,ElementWise,OP_TENSOR_ADD_FWD2701844691838910921,0.040122,1605632
relu_2,Relu,ACTIVATION_FWD6120376001579986082<CUDNN_ACTIVATION_RELU>,0.029595,4816896
conv_2,Conv,CONV_FWD_19467779820411199884<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.067436,411041792
batchnormalization_3,BatchNorm,BATCHNORM_FWD_INFERENCE11198929426275088815<CUDNN_BATCHNORM_PER_ACTI...,0.092960,6422528
mul_3,ElementWise,OP_TENSOR_MUL_FWD1404472266875631484,0.073908,6422528
add_3,ElementWise,OP_TENSOR_ADD_FWD9612846386333302230,0.073677,3211264
relu_3,Relu,ACTIVATION_FWD12381384916388605032<CUDNN_ACTIVATION_RELU>,0.052934,9633792
conv_3,Conv,CONV_FWD_41774357194510362364<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.161169,1849688064
batchnormalization_4,BatchNorm,BATCHNORM_FWD_INFERENCE4404377772158826218<CUDNN_BATCHNORM_PER_ACTIV...,0.072098,4816896
mul_4,ElementWise,OP_TENSOR_MUL_FWD13044773975348934713,0.057232,4816896
add_4,ElementWise,OP_TENSOR_ADD_FWD2527179228427301523,0.057043,2408448
relu_4,Relu,ACTIVATION_FWD5945676176460799992<CUDNN_ACTIVATION_CLIPPED_RELU>,0.041257,7225344
conv_4,Conv,CONV_FWD_411495438279080864807<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.080160,616562688
batchnormalization_5,BatchNorm,BATCHNORM_FWD_INFERENCE11198929426275088815<CUDNN_BATCHNORM_PER_ACTI...,0.092960,6422528
mul_5,ElementWise,OP_TENSOR_MUL_FWD1404472266875631484,0.073908,6422528
add_5,ElementWise,OP_TENSOR_ADD_FWD9612846386333302230,0.073677,3211264
relu_5,Relu,ACTIVATION_FWD12381384916388605032<CUDNN_ACTIVATION_RELU>,0.052934,9633792
