LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv17_conv0_fwd,Conv,CONV_FWD_2_TENSORCOREHALF_26631721840597580<CUDNN_CON...,0.569720,472055808
resnetv17_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_78811509443544...,0.121159,3211264
resnetv17_relu0_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_5889151137839384926<CUD...,0.015152,4816896
resnetv17_pool0_fwd,Pooling,POOLING_FWD_TENSORCOREHALF_1843146210790374264<CUDNN_...,0.012089,3612672
resnetv17_stage1_conv0_fwd,Conv,CONV_FWD_4_TENSORCOREHALF_2046605619055912169<CUDNN_C...,0.021713,51380224
resnetv17_stage1_conv0_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_6634209537304455811,0.010968,51380224
resnetv17_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_76691671586944...,0.034541,802816
resnetv17_stage1_relu0_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_6236170619363862634<CUD...,0.009106,1204224
resnetv17_stage1_conv1_fwd,Conv,CONV_FWD_4_TENSORCOREHALF_16152625966938290057<CUDNN_...,0.040395,462422016
resnetv17_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_76691671586944...,0.034541,802816
resnetv17_stage1_relu1_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_6236170619363862634<CUD...,0.009106,1204224
resnetv17_stage1_conv2_fwd,Conv,CONV_FWD_0_TENSORCOREHALF_1642253536799466404<CUDNN_C...,0.025734,205520896
resnetv17_stage1_conv2_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_3626496808172121491,0.020549,205520896
resnetv17_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_58257711430683...,0.114180,3211264
resnetv17_stage1_conv3_fwd,Conv,CONV_FWD_0_TENSORCOREHALF_1642253536799466404<CUDNN_C...,0.025734,205520896
resnetv17_stage1_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_58257711430683...,0.114180,3211264
resnetv17_stage1_activation0,Relu,ACTIVATION_FWD_TENSORCOREHALF_3814746841111338822<CUD...,0.015102,4816896
resnetv17_stage1_conv4_fwd,Conv,CONV_FWD_3_TENSORCOREHALF_7242119473403249928<CUDNN_C...,0.028735,205520896
resnetv17_stage1_conv4_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_6634209537304455811,0.010968,205520896
resnetv17_stage1_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_76691671586944...,0.034541,802816
resnetv17_stage1_relu2_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_6236170619363862634<CUD...,0.009106,1204224
resnetv17_stage1_conv5_fwd,Conv,CONV_FWD_4_TENSORCOREHALF_16152625966938290057<CUDNN_...,0.040395,462422016
resnetv17_stage1_batchnorm5_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_76691671586944...,0.034541,802816
resnetv17_stage1_relu3_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_6236170619363862634<CUD...,0.009106,1204224
resnetv17_stage1_conv6_fwd,Conv,CONV_FWD_0_TENSORCOREHALF_1642253536799466404<CUDNN_C...,0.025734,205520896
resnetv17_stage1_conv6_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_3626496808172121491,0.020549,205520896
resnetv17_stage1_batchnorm6_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_58257711430683...,0.114180,3211264
resnetv17_stage1_activation1,Relu,ACTIVATION_FWD_TENSORCOREHALF_3814746841111338822<CUD...,0.015102,4816896
resnetv17_stage1_conv7_fwd,Conv,CONV_FWD_3_TENSORCOREHALF_7242119473403249928<CUDNN_C...,0.028735,205520896
resnetv17_stage1_conv7_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_6634209537304455811,0.010968,205520896
resnetv17_stage1_batchnorm7_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_76691671586944...,0.034541,802816
resnetv17_stage1_relu4_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_6236170619363862634<CUD...,0.009106,1204224
resnetv17_stage1_conv8_fwd,Conv,CONV_FWD_4_TENSORCOREHALF_16152625966938290057<CUDNN_...,0.040395,462422016
resnetv17_stage1_batchnorm8_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_76691671586944...,0.034541,802816
resnetv17_stage1_relu5_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_6236170619363862634<CUD...,0.009106,1204224
resnetv17_stage1_conv9_fwd,Conv,CONV_FWD_0_TENSORCOREHALF_1642253536799466404<CUDNN_C...,0.025734,205520896
resnetv17_stage1_conv9_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_3626496808172121491,0.020549,205520896
resnetv17_stage1_batchnorm9_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_58257711430683...,0.114180,3211264
resnetv17_stage1_activation2,Relu,ACTIVATION_FWD_TENSORCOREHALF_3814746841111338822<CUD...,0.015102,4816896
resnetv17_stage2_conv0_fwd,Conv,CONV_FWD_1_TENSORCOREHALF_15341568836411737947<CUDNN_...,0.028369,102760448
resnetv17_stage2_conv0_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_17601304656741146878,0.009512,102760448
resnetv17_stage2_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_11243507372183...,0.020346,401408
resnetv17_stage2_relu0_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_11596198000963992557<CU...,0.008651,602112
resnetv17_stage2_conv1_fwd,Conv,CONV_FWD_4_TENSORCOREHALF_15145631700600366233<CUDNN_...,0.060305,462422016
resnetv17_stage2_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_11243507372183...,0.020346,401408
resnetv17_stage2_relu1_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_11596198000963992557<CU...,0.008651,602112
resnetv17_stage2_conv2_fwd,Conv,CONV_FWD_0_TENSORCOREHALF_11147479145084214855<CUDNN_...,0.024700,205520896
resnetv17_stage2_conv2_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_2932803448485446678,0.014306,205520896
resnetv17_stage2_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_12775912158600...,0.061358,1605632
resnetv17_stage2_conv3_fwd,Conv,CONV_FWD_3_TENSORCOREHALF_10858479706910680775<CUDNN_...,0.029439,411041792
resnetv17_stage2_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_12775912158600...,0.061358,1605632
resnetv17_stage2_activation0,Relu,ACTIVATION_FWD_TENSORCOREHALF_3269583333310659682<CUD...,0.009837,2408448
resnetv17_stage2_conv4_fwd,Conv,CONV_FWD_2_TENSORCOREHALF_10489428168731541726<CUDNN_...,0.037603,205520896
resnetv17_stage2_conv4_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_17601304656741146878,0.009512,205520896
resnetv17_stage2_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_11243507372183...,0.020346,401408
resnetv17_stage2_relu2_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_11596198000963992557<CU...,0.008651,602112
